empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,670,Standard Chartered,Banking,LTI,5/17/2017,,Digitization of customer experience improvement by building functional intensity in underlying engines,"Digitization of documents of customers, for repeated use at various customer touch points; help adopt the philosophy of 'Ask Once, Use Many‘
Develop presentation layer for customer that is functionally rich and easy to use (replicating Breeze, mobile banking application from retail banking side) with a goal of providing channel neutral experience
Functional intensity to be built into the underlying engines/FinTech Apps/Middleware",,,"Alex Manson (Group Head, Wholesale Banking)
",,,
,671,Standard Chartered,Banking,LTI,5/17/2017,,Seamless customer onboarding by customizing tools like COBAM for better customer experience,"Need to make the process of document collection technology and customer-driven with ability of upload photographs of documents (e.g., cheque getting processed through a picture shared by customer)
Codify and standardize documents to create a centrally accessible repository of all documents uploaded by customers, thereby eliminating need to ask for same proof multiple times
For corporate banking, build enhancements on the existing COBAM (Corporate Bank Account Management) tool, centrally used for customer onboarding
Current process: If an NY citizen needs to open an account in Singapore, the requisite information will be covered in US and an image of documents is sent to Chennai centre to enter it in central repository",,,"Karen Fawcett (CEO, Standard Chartered Retail Banking)
Alex Manson (Group Head, Wholesale Banking)",,,
,672,Standard Chartered,Banking,LTI,5/17/2017,,KYC Next and AML Next for process improvement,"Explore implementation of next-gen KYC and AML solutions as replacement for SCB's homegrown systems, SCB is rolling out PegaSystems’ KYC module globally for retail
Create central repository of KYC and AML requirements across the geographies that bank operates in 
Bank facing challenges with capturing customer KYC and AML information while onboarding, especially for expat and non-resident customers; was hit by fines in US, India for money laundering and KYC violations
",,,"Karen Fawcett (CEO, Standard Chartered  Retail Banking)
Alex Manson (Group Head, Wholesale Banking)",,,
,673,Standard Chartered,Banking,LTI,5/17/2017,,Improvement in data quality,"Need to tidy up records to understand what data is required and what is not, gap analysis and updating requirements on differet types of customers in different countries; bank undertook massive exercise 3 years back but regular maintenance of data quality remains an issue
No competition, bank tried to do this internally (COBAM tool)
Good opportunity area as SCB has not done well with home grown solutions traditionally
Opportunity for cross business line DQM eg: TxB to FM, TxB to Retail",,,"Simon Cooper, CEO Corporate and Institutional Banking
Alex Manson (Group Head, Wholesale Banking)",,,
,674,Standard Chartered,Banking,LTI,5/17/2017,,"MIS deployment for real time transactions
","Deploy better MIS at front office for real time transactions, with ultimate goal of offering as a solution to customers
Opportunities to enhance experience by providing selective real time status information/feedback on transactions in process by balancing customer requirements and information that can be provided",,,"Raminder Ahuja (SVP, Stan-dard Chartered Scope Inter-national, Financial Markets)",,,
,675,Standard Chartered,Banking,LTI,5/17/2017,,Seamless customer migration to new platforms and phasing out old systems,"Need to manage customer migrations to new platforms to ensure that existing capabilities are maintained and new capabilities introduced appropriately and seamlessly;
This is a systems, process and people challenge hence important to ensure the seamlessness of the transition;
Phasing of systems releases will also complicate the customer experience",,,"Matthew Norris (CEO, Standard Chartered Scope International)
Karen Fawcett (CEO, Standard Chartered Retail Banking)",,,
,676,Standard Chartered,Banking,LTI,5/17/2017,,"Automation of back-end processes (for customer onboarding, transactions etc)  in SCOPE to drive man-hour savings (leverage RPA), simplification of app. like eBBS","Integrate and automate processes in back-end run at SCOPE, engage by demonstrating measurable impact like manhour savings
Value proposition: Offer free analysis of processes and payment only if impact is delivered; trick is to measure automation (e.g., time taken to move data manually from one system to another reduced from 40 minutes to 10 minutes, resulting in improvements in cost, accuracy and time to market) 
Simplification of internal processes (e.g., SCB deployed 20-30 implementations of the same eBBS platform)
Example: online transactions by retail customers look electronic in front-end but in the back-end, transaction is printed out in Chennai office and reentered into the system
Example: Customer onboarding on financial markets front was classified as straight-through processing but actions were performed manually by back-end team in Chennai; due to low failure rate of ~1 out of 1000, management never paid attention to it",,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)
Karen Fawcett (CEO, Standard Chartered Retail Banking)
Matthew Norris (CEO, Standard Chartered Scope International)
Alex Manson (Group Head, Wholesale Banking)",,,
,677,Standard Chartered,Banking,LTI,5/17/2017,,API integration with fintech applications,"Fintech companies multiplying - with solutions to make financial transactions faster and easier
Need to connect external systems and data providers (e.g., Reuters, Bloomberg) to provide integrated view to customers without the need to leave bank's interface
Development and integration of API's and plugins needed for seamless transactions through external solutions
External support especially necessary given increased pressures from compliance regulations",,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)",,,
,678,Standard Chartered,Banking,LTI,5/17/2017,,IT architecture improvement  for integration of systems,"Many systems currently operate in silos, opportunity to re-look at the IT architecture for integration of all the systems",,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)
",,,
,679,Standard Chartered,Banking,LTI,5/17/2017,,Build/upgrade systems in compliance with new regulations,"Need to maintain consistency in bank's systems across systems, to prevent time and money losses  due to network
Provide customers with all useful information related to latest regulations 
Identify ways to collaborate with customers to ensure they are aware of the impact of regulations - either new regulations on the customer’s existing business or existing regulations on the customer’s new business?",,,"Alex Manson (Group Head, Wholesale Banking)
",,,
,680,Standard Chartered,Banking,LTI,5/17/2017,,Special focus on improving customer experience using innovative offerings ,"Opportunity to make CX the key focus;
Need to develop CX vision and translate this into specific functional activities;
Develop customer journey maps to identify opportunities for enhancement, retention and revenue growth;
CX needs to pervade all relevant initiatives, workshops, training, etc.
Leverage solutions like AI, digitization etc (all as discussed above)
",,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)
Karen Fawcett (CEO, Retail Banking)
Matthew Norris (CEO, Standard Chartered Scope International)",,,
,681,Standard Chartered,Banking,LTI,5/17/2017,,"Security opportunities (e.g, risk assessment, penetration testing)","Explore opportunities around security risk assessment, penetration testing, vulnerability assessment, application security review (one of the areas for product development)
Challenge: 1,000 different corporate applications developed in India with different frameworks makes application security much more difficult",,,"Cheri F McGuire (Chief Information Security Officer)
",,,
,682,Standard Chartered,Banking,LTI,5/17/2017,,Agile development of systems and technology deployment,"Development teams for quick technology deployment; explore distributed agile (currently not leveraged by most vendors)
Unable to move delivery programs fast enough in financial markets (e.g., Project Raiser to upgrade Murex installations and roll to financial markets ovespent by double and was 12 month late)",,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)",,,
,683,Standard Chartered,Banking,LTI,5/17/2017,,Architectural simplification for cloud-based stack,"Explore opportunity around architectural simplification for moving current stack to cloud stack, wherever regulations permit it",,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)",,,
,684,Standard Chartered,Banking,LTI,5/17/2017,,Replacement with Murex ,Explore opportunities arising from replacement of existing capital markets platforms with Murex,,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)",,,
,685,Standard Chartered,Banking,LTI,5/17/2017,,IaaS solutions for data centre migration to cloud,"Explore IaaS pitch for a hybrid data centre model - both on-premise and infra on cloud
Consulting and implementation opportunity with a pitch for data centre consolidation and migration from on premise to cloud",,,"Raminder Ahuja (SVP, Standard Chartered Scope International, Financial Markets)",,,
,686,Johnson and Johnson,Healthcare,LTI,11/10/2016,,ERP integration opportunities,"JnJ is looking to reduce its IT spending from 2.1% to 1.4% of the revenue by 2018, primarily by upgrading and consolidating the company’s widely dispersed network of enterprise resource planning systems 
It has launched a multi-year transformation program - Back to Basics – which is focused at consolidating ~150 ERP systems to <25 by 2020 with a predominantly SAP backbone
The exercise will span across BUs and geographies – to implement one global business process template and SAP design
Integration will primarily be driven by Application Services
Data conversion is an untapped opportunity, and will help in gaining a foot in the door in the Back to Basics program
Extensive presence in SAP-BASIS can be leveraged to gain an entry point into SAP security and application support",,,Stephen Sorensen and Steve Wrenn,,,
,687,Johnson and Johnson,Healthcare,LTI,11/10/2016,,CRM integration,"Medical Devices practice is undergoing revamping and consolidation of businesses to reduce redundancies and inefficiencies
Legacy commercial systems (such as Siebel) are being overhauled to force.com platform Salesforce
Pharmaceuticals division’s decision to continue with Veeva platform will further create opportunities for integration
",,,Michael Reilly and Steve Wrenn act as the operational leaders for the program,,,
,688,Johnson and Johnson,Healthcare,LTI,11/10/2016,,Business intelligence and analytics  Opportunities,"Analytics is listed as a strategic imperative for J&J
It is common knowledge that J&J does not do an effective job at managing analytics, especially on the sales forecasting side for new products
",,,"Michael Reilly, VP, IT is the designated leader for driving analytics at J&J",,,
,689,Johnson and Johnson,Healthcare,LTI,11/10/2016,,Next gen Services,"J&J is highly inclined towards incorporating IOT, especially in medical devices
Possible IOT use cases would be sensor technology for monitoring implants, multi-source data mining for tracking and predicting blood glucose levels
Scope for integration of devices to digital apps with better user experience",,,,,,
,690,Johnson and Johnson,Healthcare,LTI,11/10/2016,,Cloud Opportunities," J&J is moving aggressively to the cloud - it aims to have 85% of its applications in cloud systems
",,,Daniel Zelem and Mark Landy are the key stakeholders for cloud related opportunities,,,
,691,Johnson and Johnson,Healthcare,LTI,11/10/2016,,Infrastructure Opportunities,"J&J’s move from decentralized ERP systems to centralized SAP needs to be supported by a parallel shift to SAP-BASIS
It needs support for an IT service player who can take care of the entire end-to-end process 
Emerging opportunities for automation and testing ",,,,,,
,692,Johnson and Johnson,Healthcare,LTI,11/10/2016,,HCM Integration,"Other than ERP consolidation, JnJ is focusing on moving to specialized cloud system Workday for its human capital management system
Shift to workday will be across the board for all geographies
Opportunities for data conversion, integration and support for Workday systems could be tapped into to gain a foot hold in Corporate Functions
",,,Sylvain Prud'homme and Hugh Sheridan driving the effort for Workday integration,,,
,693,FST ? ,0,LTI,11/14/2016,,Reporting and analytics,"4 types of aggregated analytics relevant for different stakeholders:
Management: Trends across growth and balanced funds
Sales: YoY, QoQ sales comparison, sales velocity, asset class velocity, dealer volume, marketing spend analysis
Operations: Automation, call centre volume, cost drivers (e.g., advisors)
Compliance",,,,,,
,694,FST ? ,0,LTI,11/14/2016,,Automation,"Automation of processes tied up with platform (e.g., account onboarding, KYC, AML, compliance reporting, corporate authorizations) ",,,,,,
,695,FST ? ,0,LTI,11/14/2016,,Mobile accessibility ,"Agile platform to enable mobile access to customers, asset managers (crucial to attract young customers) with requisite security and data safeguards",,,,,,
,696,FST ? ,0,LTI,11/14/2016,,Custom workflow engine,"Customized process workflow engine (e.g. flow to process stock transfer) along with integration for external workflows (e.g., KYC); enables flexibility with regulatory changes",,,,,,
,697,FST ? ,0,LTI,11/14/2016,,Smart contract blockchain,"Ability to facilitate execution and enforcement of negotiation or agreement using blockchain technology (e.g., during conflict between 2 parties, conditions agreed upon in agreement get executed automatically)
Also provides flexibility to be readily compliant with new regulations",,,,,,
,698,FST ? ,0,LTI,11/14/2016,,System integration,"Seamless integration of platform with other systems (e.g., KYC, AML, account onboarding)",,,,,,
,699,FST ? ,0,LTI,11/14/2016,,Proxy services,"Customer communications (e.g., customized account statements) ",,,,,,
,700,FST ? ,0,LTI,11/14/2016,,Sub-accounting,"Shadow record keeping on behalf of broker dealers (not as complex as transfer agency but with smaller revenue, margins – 50% of TA)",,,,,,
,701,FST ? ,0,LTI,11/14/2016,,Fund administra-tion,"Accounting for funds (asset sales, movement, growth)",,,,,,
,702,Cisco,TMT,LTI,11/22/2016,,Automation of core service processes,"Automate L1/L2 type delivery processes and improve metrics like resolution time / search accuracy
Create better self-service systems for Cisco customers
Co-develop automation platforms for fault resolutions, across issues lifecycle",,,,,,
,703,Cisco,TMT,LTI,11/22/2016,,Knowledge management,Create knowledge management repository for TS ,,,,,,
,704,Cisco,TMT,LTI,11/22/2016,,Single view of customer,Data and analytics play to help show a single view of the cystomer,,,,,,
,705,Cisco,TMT,LTI,11/22/2016,,Partner with Cisco to scale services ,"Jointly target servicing of mid-sized companies with Cisco
Target geographies with low Cisco presence",,,,,,
,706,Cisco,TMT,LTI,11/22/2016,,Data security and privacy,Security and privacy solutions for cloud customers,,,,,,
,707,Cisco,TMT,LTI,11/22/2016,,Collaboration,Helping customers consolidate collaboration platform and then jointly set up / implement,,,,,,
,708,Cisco,TMT,LTI,11/22/2016,,Cloud migration planning,Creating automated optimization tools to identify best fit platforms,,,,,,
,709,Cisco,TMT,LTI,11/22/2016,,Automate e-store processes,Guillermo Diaz (CIO) has been focusing on automating all e-store processes,,,"Stakeholders
Guillermo Diaz (CIO)",,,
,710,Cisco,TMT,LTI,11/22/2016,,Financial Back Office,"Cisco is planning to automate these processes in 5 phases
The total opportunity is ~30 million USD over 3 years",30 Mn,30,"Stakeholders
Guillermo Diaz (CIO)
Kelly Kramer (CFO)",,,
,711,Cisco,TMT,LTI,11/22/2016,,ServiceNow," First processes to be targeted are the basic IT operations
The entire project (greater than 10 mn USD) will not be outsourced but there will be smaller projects within this",,,"Stakeholders
Guillermo Diaz (CIO)",,,
,712,Cisco,TMT,LTI,11/22/2016,,Create an integrated API based architecture using Mulesoft,Will provide an opportunity to get experience with a wide range of applications potentially leading to other  opportunities ,5-10 Mn,5,,,,
,713,Cisco,TMT,LTI,11/22/2016,,Track usage of product functionalities,"Integrating usage tracking into products/services
Linking usage to lead generation (potentially using analytics)",,,Effort to add tracking to Cisco products started under Wendy Bahr last year,,,
,714,Cisco,TMT,LTI,11/22/2016,,Track service levels of a customer,"Simplifying renewal process so that actionable insights are provided to sales team
Integrating customer data across channels
Institutionalizing master data management ",,,,,,
,715,Cisco,TMT,LTI,11/22/2016,,Digitization and integration of the sales process,"Creating an integrated digital selling process 
Making demonstrable sales tools (quoting, pricing etc.)",,,"Stakeholders
Chris Dedicoat
Mark Stevenson
Steven Sinclair
",,,
,716,Cisco,TMT,LTI,11/22/2016,,Cisco One,Creating solutions that integrate Cisco One will get support from the sales team,,,"Stakeholders
Rowan Trollope
Dave Geckler",,,
,717,Cisco,TMT,LTI,11/22/2016,,IoT,Solutions integrating major components across Connected Cities,,,"Stakeholder
Rowan Trollope",,,
,718,Cisco,TMT,LTI,11/22/2016,,Maintain a  clean install base of Cisco’s customers and using information from it,"Integrating customer data across sources
Identifying customers to cross-sell and up-sell to",,,,,,
,719,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Sharepoint Data Integration,#NAME?,,,,,,
,720,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Simplification of procurement systems,"- 80% of parts at P&W are outsourced 
- Presence of multiple disintegrated procurement systems result in imprecise procurement planning, which results in longer lead time for production of engines and high carryover costs 
- Integration and simplification of the procurement systems (preferable wth SAP) necessary to facilitate a seamless ordering and restocking process.",,,,,,
,721,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Real time health monitoring,"- Data upwards of 1 TB per flight is being created from modern aircraft – these large datasets could be utilized for deriving valuable insights on aircraft performance and maintenance  
- The same engine can be utilized in different aircrafts for different performances 
- resulting in differing engine performance 
- Need to analyze engine data in tandem wth flight mission, pilot behavior data etc. to generate insights about engine health 
- Analysis of real time data could be used to increase maintenance effectiveness",,,,,,
,722,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Production Lifecycle Management,"- ~50% of the business is driven based on aftersales service (based on MRO and DOF's) 
- Parts made to order, not made to stock 
- Long lead time for production increases the necessity for more precise forecasting of demand 
- Need to run regression analysis for forecasting inventory level of spare parts and rental engines  
- Key is to track data of actual usage of parts and employ predictive maintenance instead of reactive maintenance to reduce maintenance cost - relationships with current vendor IBM seem to be weaking, Pratt & Whitney key to open up for other partnerships",,,,,,
,723,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Inventory management,"- ~80% of the parts are outsourced - unavailabilty of parts can occur due to missing orders or defective parts
- High cost of engines imply high carrying cost, especially when the engine is idle during production due to unavailability of parts
- Data analytics would be a useful tool to balance carrying and inventory costs while optimizing the OTIFs ",,,,,,
,726,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Migration to cloud,"- Due to regulatory requirements, P&W hasn’t been able to utilize true cloud - cloud operations still primalrily driven by on premise cloud
- Need to expand cloud storage for data and make cloud compuing more efficient",,,,,,
,728,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Salesforce integration ,#NAME?,,,,,,
,732,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Teamcenter integration,"- Almost 60% of UTAS subsidiaries on Teamcenter (however, disintegrating instances) 25% on Windchill, and the rest on other systems
- As part of the key IT priority for integating UTAS on common platforms, call for a PLM integration
- Integration particularly necessary to ensure smooth collaboration and sharing between spread out teams in different geographies and subsidiaries across the BU
- Need to get all units on a single instance of  team centre to reduce redundancies
- Effort only 20% underway, entry could be made by targeting smaller units, and expanding from there",,,,,,
,737,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Diagnostics and Prognostics,"- OEM's focus on tracking of usage patterns of the parts in the context of associated systems, type of aircraft, flight data etc to analyze health of parts
- Analysis of the data collected could help in predictive proactive maintenance, thereby optimizing part life and performance while minimzing downtime for the planes
- Opportunity to pair with digital apps for field technicians, with common dashboards and apps",,,,,,
,740,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Smart elevators,"- IoT is the next biggest trend in the Building equipement
- In US alone, there are 600,000 elevators in place. Possible use case to connect elevators to the cloud, which records real time performance data
- Integration of this data with worker availability and schedules will help increase field worker efficiency",,,,,,
,743,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Field productivity apps,#NAME?,,,,,,
,747,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Supervisor apps ,"- To further increase productivity of field workes on the installation site, Schindler utilizes NI/MOD supervisor for seamless management of construction site
- Key value additions include full backend integration (milestone and actvity management, real time synchronization contact management etc), Seamless documentation(access to relevant docments and drawings, checklists for installation and tracking document issues) and process simplification(Automatic alerts, prioritization of tasks already on construction site, and faster network confirmations)
- Similar propositions could be taken to Otis to ensure increasing field supervisors' productivity",,,,,,
,750,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Mobile dashboard for service customers,#NAME?,,,,,,
,752,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,People movement and dispatching,#NAME?,,,,,,
,755,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Customer Churn Analysis,#NAME?,,,,,,
,759,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Smart products in Carrier,#NAME?,,,,,,
,763,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Integrated platform for connecting devices,"- Demand for an integrated systems to access all equipments in a home/residential and/or commercial building in one single platfom
- Expected energy saving of around 15-30% from the platform through reduction of redundancies and unnecessary usage
- Need to connect UTC as well as non UTC equipment and devices to esnure seamles customer experience
- Implementation driven by internal unit Automated Logic in smaller bouts rather than a systematic plan across units - opportunity in multiple geographies and BU's
- Current preferred platform for UTC-BIS is BACnet - a platform also preferred by competitors Honewell and JCI controls (who are using a base BACnet systems, expanding over it to create a simpler and integrated platform)",,,,,,
,768,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Integrated system for connected fire and safety solutions,#NAME?,,,,,,
,771,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Centralized security solutions,"- Similar to integrated platform for fire and safety solutions, there is scope for centralized security solutions - with analysis of data from multiple source points, such as current occupants, irregularities in usage patterns, video footages etc
- Could be integrated with alarming systemswith features to notify the point of contact of possible incident, recommended caution, optimized route for evacuation etc. and police on details like time of incidents, # people involved etc.",,,,,,
,773,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,SAP Transformation,"- Current ERP system is a patchwork of 50+ ERP systems, leading to inefficiencies in the system, and unnecessary expenditure
- Otis is moving towards ERP consildation  - with major focus on SAP and JDE
- Would need support from an IT service vendor to help migrate existing systems on one single template of SAP
- Scope to expand services to maintenance and support of the transformed systems",,,,,,
,777,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,JDE Migration,#NAME?,,,,,,
,780,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,SAP implementation in Mexico,#NAME?,,,,,,
,783,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Microsoft Dynamics Integration,"- CCS patchwork of 450 smaller companies - each with their own CRM systems
- Need to integrate CRM systems to a single instance of Microsoft Dynamics to preserve the sanctity of customer data, while maximizing the data tracking",,,,,,
,785,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Migration to cloud,"- CCS is primarily an SAP shop, its converting most of its 450+ ERP instances to a single global template of SAP
- While a lot of attention has been given to SAP migration, with most of the progress already made
- CCS is now turning its focus on backing its applications are cloud - to ensure data consistency and utilize cloud supercomputing
- Will need help of an IT vendor to help it in migrating its data and applications on cloud, in a fast track and secure manner",,,,,,
,789,United Technology Corporation,NA/ Conglomerate,LTI,11/30/2016,,Cybersecurity for CCS product data,"- The application data is secured by the corporate, however, security for data collected by smart devices not yet explored
- With the amount of data to be tracked exploding, its imperial to protect users' data - especially for products such as home survelliance
- CIO for the product line will serve as the entry point for this opportunity",,,,,,
,792,General Electrics,NA/ Conglomerate,LTI,12/11/2016,Oil & Gas,Baker-Hughes integration,"Opportunities across 3 areas of integration:
Infrastructure
Middleware (databases)
Application development
Opportunity to rationalize data rooms to cut costs",,,,,,
,793,General Electrics,NA/ Conglomerate,LTI,12/11/2016,Power,Alstom acquisition: Data migration,"Opportunity for data migration and data harmonization for the multi-year Alstom integration project
Deploy tools as accelerators
Combine functional (e.g., warehousing, procurement, finance, costing, manufacturing) and domain expertise (e.g., understanding of procurement systems in manufacturing)",,,,,,
,794,General Electrics,NA/ Conglomerate,LTI,12/11/2016,"Power
CIO (Clay Johnson)
IT leader for SAP (Gowri Shankar Ganeshan)",Alstom acquisition: SAP implementation,"Decision to implement and consolidate SAP across GE Power and Alstom (known to have completed SAP design and decision on modules)
Alstom historically SAP shop, opportunity to upgrade older version to 1-2 new instance",,,,,,
,795,General Electrics,NA/ Conglomerate,LTI,12/11/2016,Power,ERP and PLM integration,"Connectivity between ERP and PLM systems for consistent data flow
Example: Integrate product information from 150-200 gas turbines with the manufacturing module of SAP; critical to ensure process-product matching
PLM systems consolidation into Siemens",,,Clay Johnson (CIO – Power),,,
,796,General Electrics,NA/ Conglomerate,LTI,12/11/2016,Any unit with acquisition,System rationalisation and integration for acquired companies,"Opportunity for ERP and systems integration for GE's acquisitions/merger
Baker Hughes being the latest one
Power comprises of 4 acquisitions
Complexity with field service operations due to acquisitions
Likely to eliminate systems that don’t make sense
Example: Big challenge to get right field engineers on time ",,,….,,,
,797,General Electrics,NA/ Conglomerate,LTI,12/11/2016,"All units, specifically healthcare",Cloud migration,"Huge thrust on cloud migration given cloud-ready data centers (particularly for Healthcare unit - under strong pressure to cut costs to make financials look good to sell-off business)
Transportation: Java-based applications which have to be migrated to cloud
Example: Amazon enabled change management in organization after cloud migration",,,"Jorg Debatin (CTO – Healthcare)
BU CTOs",,,
,798,General Electrics,NA/ Conglomerate,LTI,12/11/2016,"Power
Aviation",Monitoring and predictive analysis for maintenance services,"Provide high-value analytics services on product maintenance that GE can use to monetize from customers, example
Power: For turbines, analysis to minimize down time by understanding right time to schedule a wash in the context of each plant
Aviation: For jet engines, identify kind of maintenance required (trying to pitch to Qatar Airways, Lufthansa, United Airlines)
",,,"Clay Johnson – CIO GE Power
Jude Schramm – CIO GE Aviation",,,
,799,General Electrics,NA/ Conglomerate,LTI,12/11/2016,"All units, but varies in extent; most prominent in Transportation",GE Thread: Product Lifecycle Management,"Using Predix OS, create a seamless flow of data across isolated systems (e.g., ranging from quotes, order receivals, requirements gathering,  requisitions, engineering bill of material, manufacturing bill of material, warranty)
Requires strong Product Lifecycle Management (PLM) expertise",,,"Shane Fitzsimons - Head of Shared Services
Nancy Andersen - CIO GE Transportation",,,
,800,General Electrics,NA/ Conglomerate,LTI,12/11/2016,Transportation,Remote monitoring and diagnostics,"Remote monitoring and diagnostics over 40,000 IoT enabled locomotives
Mode of engagement: Augmenting internal engineering and IT teams",,,…,,,
,801,General Electrics,NA/ Conglomerate,LTI,12/11/2016,All units,"Develop data lakes, create tools and staff data scientists","Create data lakes to gather data from equipments
Develop reporting tools, widgets for data visualization
Identify flags that can potentially shut down equipments
Marry gathered data with external environment conditions
Example: Application of top of compressor analysed thousands of parameters collected, and identified dust during harvest season as cause for shutdown; enabling preventive actions for future
Provide data scientists with domain expertise for taking action based on analysis (highly valued resource)",,,…,,,
,802,General Electrics,NA/ Conglomerate,LTI,12/11/2016,All units,IoT application development,Develop domain specific applications on top of Predix platform,,,"Harel Kodesh; BU CDOs, CIOs",,,
,803,General Electrics,NA/ Conglomerate,LTI,12/11/2016,Transportation,Performance monitoring,"Focus on softwares with a customer-centric approach for solution development 
Train performance monitoring, fuel efficiency solutions potential opportunities
Infosys, Cognizant primary incumbents here",,,,,,
,804,General Electrics,NA/ Conglomerate,LTI,12/11/2016,Transportation,Factory automation,"Agile approach for automating factory operations like supply chain, materials management",,,,,,
,805,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Preventive maintenance,"Optimized planning and execution for preventive maintenance: analytics to avoid plant stoppages, enabling plant managers to act before time",,,,,,
,806,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Efficiency enhancement through IoT,"Enhance efficiency and utilisation of plant through IoT backed solutions (e.g., IBM technologies), example:
Sensing and capturing: Data from sensors captured, cleaned and structured
Analysis and modelling: Advanced analytics tools to analyze the data and to create adaptive, self-learning models 
Decision making and actuation – Optimize key parameters to stabilize and reduce energy consumption
Is an opportunity in NA, Canada because of new cement manufacturers coming in after 20-25 years with latest technologies; will force incumbents like LafargeHolcim also to cut costs",,,,,,
,807,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Quality check and quality assurance,"Adapt quality check and quality assurance for plants by location, given variability in core inputs, additives, waste emission rules across plants
Enable quality control monitoring for plants at central level
Cement business already possess this but not user-friendly; services quality is the key differentiator",,,,,,
,808,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Crew tracking,"Provide real-time status updates on total crew deployed across work fronts, number of active working hours, entry into unauthorized areas",,,,,,
,809,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Carrier optimization,"Performance optimization: 
Comparative analysis of how different carriers (e.g., sea fleet, road fleet) are performing on safety and performance indicators 
Tarriff optimization: 
Benchmarking freight costs and maintaining transparency across routes and providers
Opportunity size: >$5Mn",,,,,,
,810,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Route planning,"Dynamic optimization: Adjustment of routes based on daily changes in volume to avoid underutilization
Planning of trucks and drivers: Transparency on actual time and capacity as basis for allocation of trucks
Tracking of trucks: Expand solution from India to other geographies
Systematic planning of inbound and outbound transport
Service trade-offs: Understand trade-offs between delivery frequency and order sizes",,,,,,
,811,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Customer demand forecasting,"Applications to pre-emptively forecast when customer is going to run out of cement, based on their capacity and inventory levels – helps in optimizing logistics cost",,,,,,
,812,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Supplier optimization,"Analytics to choose best suppliers, ensure performance management ",,,,,,
,813,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Customer service,"Web and mobile based order management system with real time visibility of order status (ordering, funnelling, invoicing)
Develop applications for digitizing and sharing product information with users
Real-time customer service level measurement",,,,,,
,814,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Customer satisfaction analysis,"Incorporate customer satisfaction survey:
Identify loyal customers who promoting Lafarge to other customers
Identify pain points, synthesize customer issues for sharing across organisation, ensure customer concerns are addressed through innovations",,,,,,
,815,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,"Online platform for stakeholder integration
","Create a digital ecosystem by integrating all players in the construction value chain on an online platform
Provide enhanced omnichannel buying experience for end users
Leverage “big data,” automation revolution, and building information modeling software",,,,,,
,816,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,System disintegration for company divestitures,Unhook divested companies from systems using a standardised methodology ,,,,,,
