empty,field_expert_fullname,field_expert_affiliation,field_expert_study,field_expert_contact_point,field_expert_joined_ideation,field_expert_designation,field_expert_description,field_expert_primary_at,field_expert_primary_vt,field_expert_image
,Marvin Meyer,External,,,,"Former Director, Global Sourcing, Covidien Plc ","Marvin Meyer's expertise focuses on taking innovative business solutions from concept to implementation by forging effective links between internal business organizations and external business partners. At multi-national Life Sciences and Pharma companies including Covidien, Mallinckrodt, Tyco International, G.D. Searle and Monsanto, he has been responsible for ground breaking and productive business relationships with major and key suppliers, both large and small. He has developed and managed the development and implementation of major contracts with suppliers including IBM, Oracle, SAP, HP, Johnson Controls, CB Richard Ellis, Ameren Corp, Duke Power, Sempra Energy, Storeroom Solutions, American Express and many others. Focusing on speed, flexibility, and developing a culture across company boundaries which values mutual success, he has raised the bar to forge new business value. He has seen success across business requirements ranging from R&D to Manufacturing and Facilities Management as well as Information Technology, Marketing, Advertising, Product Development, Energy Supply, Engineering and Travel Services. He has leveraged his engineering training by applying a disciplined and process-based perspective to facilitating the building of sustainable and productive business processes and relationships across the boundary of supplier and customer. While those boundaries exist between companies, they are also in place across departments and functions within a company, and there the same methods are equally effective. The teams he has developed and led have been global in scope, implementing projects and contracts impacting hundreds of $ millions in annual spend and worth tens of $ millions in savings and other business value. One key to his success has been creating a culture of mutual understanding to minimize the often seen battles of ""us-vs-them"" across both internal functional departments and external suppliers. Marvin is a seasoned executive leader who can contribute to your success.",Covidien,,
,Mary Carethers ,External,,,,"President and CEO, Innovation Connections LLC","Mary Carethers is the President and CEO of Innovation Connections LLC, a Innovation Strategy Consultancy and Executive Coaching firm. Previously Mary was the Vice President of Research & Development for Global Pet Nutrition and Snacks with Procter and Gamble (2008 - 2012). In this role she built the $1 Billion incremental Front End Pet Care Innovation portfolio value and led the global snacks front end product and cost innovation program. Her prior roles with Procter & Gamble include Senior Director of Research & Development with Global Snacks (November 2008 - June 2008), Director of Research & Development for Global Personal Cleaning, Global Beauty Care (February 2000 - November 2005), Associate Director of Research & Development for Global Beauty Care (1991 - 2000). Additionally she held other Research & Development roles in Personal Cleansing, Beauty Care, and Hard Surface Cleansing with Procter & Gamble (1983 - 1991).",P&G,,
,Mary Macleod,Internal,Infosys,,N,"Former Chief Transformation Officer, Institutional and CFO, International and Institutional Banking, ANZ","Mary is a Sr. Advisor with McKinsey McKinsey & Co. Prior to joining McKinsey, she has worked at ANZ as Chief Transformation Officer, Institutional and CFO, International and Institutional Banking. Mary brings rich expertise in Institutional banking and deep knowledge on key stakeholders relevant to Institutional Banking at ANZ",ANZ Bank,Banking,
,Matt Fisch ,External,,,,"Former GM, SW Engineering, Devices R&D Intel Mobility, Undefined ","Matt Fisch is a Senior Engineering Executive in Automotive Engineering, SOC and consumer device development with a proven track record of shipping products in global markets, leading multi-geo organizations. Matt spent nearly 25 years at Intel where he was most recently GM, SW Engineering, Devices R&D Intel Mobility. There he led Android SW engineering for Intel's Tablet and Mobile Phone platforms, responsible for delivery of Firmware, Drivers and device level integration and optimization for all Intel Mobility SOC products including factory support teams for Tier I customers and ecosystem partners. He also led Global SW engineering organization responsible for delivery of Firmware, Drivers and fully optimized Tablet SW stack for Windows Intel Atom based SOC platforms and established a new standard of collaborative engineering with Microsoft that resulted in a substantial Time to Market improvement and superior product quality. Through SW excellence and high velocity execution, he delivered the first mainstream price point Tablets boasting a full Windows experience. Matt Fisch was at Harman International as VP of Global Engineering where he leads global R&D organization responsible for Harman's car audio business spanning North America, China, Europe, Japan and Korea, delivery of 100+ products per year in conjunction with major global automotive OEMs",Intel,,
,Matthew Raphaelson,External,Infosys,,Y,"Former EVP, Community bank",,Wells Fargo,Banking,
,Megan Pacchia,Internal,Infosys,,N,"Partner, New Jersey, McKinsey",Leader in CPG practice and expert on Direct To Consumer strategies for CPG companies,P&G,CPG,
,Michael Adams,External,,,,"Former Vice President, Intel Corporation ","Michael Adams is currently retired and was a Vice President at Intel Corporation, where he held various roles since starting in 1993. In his most recent role, Michael was responsible for overseeing the completing of a wafer fabrication facility and an associated office building for future technologies, and was also a factory manager for a 14 nanometer startup in Chandeler, AZ. Before taking on the role of VP, Michael was a General Manager/Plant Manager for a wafer fabrication facility located in Hudson, MA, where he successfully brought in a new wafer supply agreement and new technology to extend the life of the factory. In a different capacity, Michael was also a General Manager/Factory Manager of a CPU assembly/test site in Chengdu, China, where he was responsible for construction completion, start up, and ramp of a greenfield factory. Michael is proven leader of high technology manufacturing facilities, with experience in China, Malaysia, and the Philippines, as well as multiple US factories. He has demonstrated results in improving safety, quality, output and cost and proven ability to lead large organizations (1000+).",Intel,,
,Michael Koved,External,Infosys,,Y,"Former Head of analytics, CMO, Wells Fargo",,Wells Fargo,Banking,
,Michael Page,External,Infosys,,N,"Former Senior Director, Business Intelligence and Analytics, TCCC",Led the development of the Strategy & global operating model for the BI & Advanced Analytics organization to support The Company’s Digital transformation.,Coca-Cola,CPG,
,Michael Rhodehamel,External,,,,"Former Director, Intel Corporation","Mike Rhodehamel has 29 years of experience in semiconductor and computer design. Mr. Rhodehamel has recently retired from Intel. During his almost 29 nine years at Intel, he has been a leader in many high profile and commercially successful products such as the Intel Pentium Pro, Pentium 4, Core and Atom processor families and computing technologies such as Intel Anti-Theft, Intel Wi-Di and a variety of power management and security technologies. Mr. Rhodehamel is an accomplished computer architect, designer and validator with over 35 US patents issued for his inventions. He is proficient in nearly all phases of semiconductor development including architecture, micro-architecture, logic design, circuit design, physical design and verification. In addition to the ""hard"" technical skills, he is equally accomplished in the ""soft"" skills and has been very effective at inspiring, leading, mentoring and developing individuals and team. He is a leader with the demonstrated ability to create, build, train and lead large technical organizations including the turnaround of dysfunctional teams. He has planned, budgeted, managed, directed and delivered large, complex technical product development efforts. He has worked extensively with international teams, specifically in Asia, India, Israel and Mexico, including direct management of those teams. In addition to his experience leading hardware development teams, he has also led software and systems development efforts. Mr. Rhodehamel has knowledge of LEAN principles and experience in successfully applying them to development organizations. He is a champion of diversity and spent considerable effort at Intel in supporting efforts to improve the working environment for women and underrepresented minorities in engineering and through direct mentorship and support of diverse individuals.",Intel,,
,Michael Taylor,External,Infosys,,Y,"Ex-VP, Business Development, Layer3 
","Michael Taylor served as the VP of business development for Layer 3 till late 2016 before moving on to setup his own consulting firm
As part of this role, Michael led negotiations with content and technology providers, and created business plans for the introduction of ancillary products/services for the company.",TMO,TMT,
,Miguel Toscano,External,Infosys,,Y,"Former Senior Director of Global Marketing, The Coca-Cola Company","20 years of experience out of which 16 years were with Coca-Cola Company. His area of expertise include Digital Marketing, Integrated Marketing and Project Management
",Coca-Cola,CPG,
,Mike Gordon,Internal,,,,"Senior Expert, New Jersey, McKinsey",Senior Expert,Eaton,,
,Mike Lydon,External,Infosys,,N,"VP, Supply Chain, Cisco","Michael worked with Cisco for 17 years, and most recently in the role of VP of Product Operations leading 5 unique supply chain organizations accountable for combined revenue of $12 billion",Cisco,TMT,
,Mike Madden,External,Infosys,,N,Independent GDPR Consultant ,"Expert is responsible for Providing GDPR advice and guidance to a number of businesses including:- 3R Recruitment CRM and Services provider, Lima Networks Data Centre, Cloud, Managed Services provider, FCS-Protect Cloud Hosting and Backup Services provider. Previously was associated with Dollar Finance as GDPR Consultant wherein was Providing support on the GDPR regulations and how they impact Dollar's systems, processes and third parties. He is also a Legacy IT Consultant--  responsible for providing independent advice to clients on modernization and migration strategies and forging partnerships to achieve the goals of major transformation efforts and has overall experience of 30 years",Daimler,Manufacturing,
,MinJun Liang,External,Infosys,,N,"Former General Manager, Alipay","Spent over 10 years in Alipay and head of products for 7 key areas including cross border, O2O",American Express,Banking,
,Moritz Rittstieg,Internal,Infosys,,N,"Associate Partner, Chicago, McKinsey",Moritz is an partner with the McKinsey with significant experience in advanced industries,Johnson Controls,Manufacturing,
,Mr Kris Heunnekens,External,Infosys,,N,"Former Director, Business Analysis, US Card Loss Mitigation"," Kris Huennekens held several roles at Capital One Financial Corp. His direct responsibilities included hardships, forbearance, and other forms of credit relief as well as building analytic tools to evaluate and optimize the value of collections strategies",American Express,Banking,
,Ms. Katarina Mravcakova,External,Infosys,,N,"Ex-Director Operation, CBRE (Acquired the Global Workplace Solutions business of JCI) ",,Johnson Controls,Manufacturing,
,Nancy Cocozza,External,Infosys,,N,"Former Head of Medicare, Aetna",,Aetna,Healthcare,
,Nikhil Kaithwal,Internal,Infosys,,Y,"Associate Partner, London, McKinsey",Former Global Head of Analytics for a couple of Amex’s Business Units and helped built data monetization business for them; currently leading analytics in banking,American Express,Banking,
,Nikhil Patel,Internal,Infosys,,Y,"Partner, Houston, McKinsey","Nikhil is a core leader in the Oil and Gas practice in McKinsey with rich experience in capex savings, capex efficiency optimisation",Exxon,EPNG,
,Pankaj Kumar,External,Infosys,,N,"Former Program Director, ANZ Singapore","Pankaj is a Singapore based seasoned IT executive in Institutional technology. He is ex-ANZ, Program Director where he led a ~250 member team across Singapore, Australia, China and India in delivering multi-year transformation programs for execution of the end-to-end technology strategy to meet business goals and unleash overarching innovation for the organisation, its employees and customers",ANZ Bank,Banking,
,Pankaj Sachdeva,Internal,Infosys,,Y,"Partner, Philadelphia, McKinsey","Deep knowledge in Agile & Devops, Cloud Hosting, Data center strategy and colocation services, next-gen IT infrastructure",Aetna,Healthcare,
,Paul Brough,External,Infosys,,Y,"Ex-global head performance & business management, shared operations, RBS","Paul has spent over 15 years holding global technology across various divisions, and most recently with CIO responsibilities for the corporate and institutional banking (CIB) division at Royal Bank of Scotland",RBS,Banking,
,Paul Kendall,External,Infosys,,N,"Ex-VP, IT, T-mobile","Paul is the Ex-VP of Finance, IT in Tmobile and understands the ERP landscape, current pain points and need to shift to next gen ERP",TMO,TMT,
,Pedro Puga,External,,,,"Former Supply Management Specialist, John Deere Limited ","Pedro Reyes Puga is a Strategic Buyer for Caterpillar Logistics, since September 2014. He is responsible for the development and implement cost reduction strategies, inventory management, supplier relationship management and inventory management. Prior to that Pedro served as Supply Management Specialist for John Deere, from August 2012 to September 2014. In that role, Pedro was responsible to analyze supply chain processes, interact with suppliers regarding procedural agreements and monitor engineering changes ensuring systematic accuracy.",Deere & Company,,
,Peter Bisson,External,,,,"McKinsey&Co – Director Emeritus; 
Gartner – Board Member",, ,TMT,
,Peter Campbell,External,Infosys,,Y,"Ex-CIO, Sprint","Peter Campbell served as the SVP IT, and CIO of Sprint for 6 years and has a unique background and history of accomplishments with senior management experience in Information Technology, Application Development and Data Center Operations and Telecommunication Operations Management
Mr. Campbell served successfully as IT Integration Lead on SBC(ATT) and SNET, Pacific Bell and Ameritech Merger, Nextlink(XO) and Concentric Merger, Sprint and Nextel Merger, Sprint and Virgin Merger, and Sprint and Clearwire Merger",TMO,TMT,
,Peter Evenson,External,Infosys,,N,"Former Global Business Development Manager, Microsoft","Peter led global business development projects for Microsoft Store in America, Australia, Europe and China",Microsoft,TMT,
,Peter Finamore ,External,,,,"Former manger, Entergy Technology and product sustainability, John Deere","Peter Finamore was Manager, Product Sustainability and Energy Technology for Deere and Company until June 2015. Mr. Finamore has 47 years of experience in managing engineering, research and development, manufacturing, quality, sales and marketing operations at Chrysler Corporation, Textron and John Deere. He has experience with hybrid and fuel cell vehicle integration, engine emissions and after treatment reduction technology, energy conversion and lithium advanced battery systems. Mr. Finamore's active pursuits include Product Life Cycle Impact, Design for Environment, alternative fuels evaluations and advanced innovation processes. He holds a BS in Chemistry from The University of Vermont and an MS in Chemical Thermodynamics from University of Michigan",Deere & Company,,
,Philippine Risch,External,,,,"ING – Director Branches; 
ING – Transformation & Post Merger Lead",, ,Banking,
,Phillip Bronsdon,External,Infosys,,Y,"Former SVP, Product Development, CenturyLink","Phillip Bronsdon was the Senior Vice President at CenturyLink from Jan 2016 to Mar 2018 and is currently the CTO at Columbus Collaboratory 
Phillip has extensive experience working on large Telco mergers, having been  the Technical lead of network in both the CenturyLink and Level3, and the Qwest and US West mergers",TMO,TMT,
,Pierre- Alain Allemand,External,,,,"SFR - Executive VP, Networks, IT & Wholesale; 
Neuf Cegetel – Executive VP, Networks",, ,TMT,
,"Piyush Saxena
",External,,,,"Former Global Product Director, Eaton Corporation ","Piyush Saxena is currently an independent consultant working part-time for Proctor and Gamble. Previously, Mr. Saxena was, from 2010 to April 2014, Global Product Director at Eaton Corporation, Bussmann Business, responsible for leading a $32 million plus global business that averages 11% revenue growth and 60% plus margins for Overvoltage, Circuit Protection Accessories and Wireless product lines. From 2008 to 2010, Mr. Saxena was Global Business Unit Manager at Mersen, Ferraz Shawmut, responsible for directing the activities of the Business Unit team as well as, creating, building and shaping long-term programs and initiatives, across business areas. From 2007 to 2008, he was Product Manager at Phoenix Contact and from 2005 to 2007, he was Senior Program Manager at Schneider Electric. Previously, from 1996 to 2005, he was Senior Product Manager at Network Solutions. Presently, he is a VP Marketing and Business Development at Dehn since April 2014. Exclusive member of GLG/CMP.",Eaton,,
,Rafael Oliveria,SA,,,,"Senior Advisor, McKinsey",McKinsey (Plant engineerimg),P&G,,
,Raghavan Janardhan,Internal,Infosys,,N,"Partner, Chennai, McKinsey",Raghavan is a partner with the McKinsey India office with significant experience in rebadging scenarios in IT outsourcing deals,Verizon,TMT,
,Rajesh Raman,External,,,,"Former Director, Cisco","Director, Engineering",Cisco,,
,Ram Jayaraman,External,Infosys,,Y,"Senior Advisor, McKinsey","ex-Delivery head, Citibank GCB and Head of digital transformation, DBS",Citi,,
,Ram Peruvemba,External,Infosys,,Y,"Ex-Partner Director, Microsoft Cloud","Ram is the ex-partner director at Mircosoft Cloud Infrastructure organisation, and has a good idea of the different opportunities within Microsoft Azure that Infosys can pursue",Microsoft,TMT,
,Ramkumar Rajagopalan,External,Infosys,,N,"Former Head of Payment, Cash, and Centralized Operations, ANZ","Ram has spent 30+ years at ANZ (20+ years with Venky SV) in the retail and wholesale banking divisions, specifically focused on retail & commercial banking, banking processes, customer impact, financial & operational structuring in successful delivery of large techno-functional projects for businesses, strategic planning, offshoring transitions, operational risk & management, and business process reengineering",ANZ Bank,Banking,
,Rani Borkar ,External,,,,"Former (Former) Corporate Vice President, Intel Corporation","Rani is a highly experienced technology executive and product visionary instrumental in leading Intel's silicon product development strategy to fuel the growth of Server, PC, IoT and Tablet/Phone business resulting in multi-billion dollar revenue and unit volume increase. She was responsible for silicon product development strategy and delivery of Intel(R) Xeon(R), Intel(R) Atom™, Intel(R) Core™, Pentium™ and Celeron™ family of processors and client chipsets. She is very experienced and knowledgeable about the Semiconductor and Platform Development eco-system. She has over 25+ years of experience in the computing industry, with a strong execution record and demonstrated ability to scale engineering output to deliver a wide portfolio of world-class products. Highly successful in building strategic customer relationships, driving collaborative engagements and delivering to customer commitments. Progressive and transformative leader with extensive experience in leading large, complex and diverse world-wide engineering organizations. Reputation of creating change-ready organizations, developing strong leaders and building close-knit communities. She is currently Member of the Board of Trustees, Executive & Audit Committee at Oregon State University. Prior, from 2011 to May 2015, Rani served as the Corporate Vice President and GM, Product Development Group at Intel Corporation, where she was responsible for silicon product development strategy and delivery of Intel(R) Xeon(R), Intel(R) Atom™ Intel(R) Core™, Pentium™ and Celeron™ family of processors & client chipsets.

",Intel,,
,Raymond Abdelmalak,External,Infosys,,N,Former Telematics & Infotainment Engineering Manager,,Toyota,Manufacturing,
,Richard D'Souza ,External,,,,"President of Cirle, a medical device incubator with the Bascom Palmer Eye Institute","Richard D'Souza, Ph.D. is currently President of Cirle, a medical device incubator with the Bascom Palmer Eye Institute (since May 2014). In this role, he has led the development of a Surgical Navigation System for cataract surgery from early prototype to final product, including all verification and validation testing. He developed the strategy to leverage the Surgical Navigation System as a technology platform for new opportunities. He is a Senior R&D leader with 25+ years' experience building businesses with innovative new products for global distribution. In 2011, he joined Bausch & Lomb, serving as Global Head of R&D and Regulatory for Pharmaceuticals. In this role, he significantly improved new product pipeline with internal development and aggressive L&A, including mapracorat (post-op inflammation allergy, dry eye), latanoprostene bunod, brimonidine for redness removal, MIM-D3 for dry eye, and innovative line extensions for existing products. He also gained regulatory approval and launched Lotemax Gel and Prolensa. Launched Soothe Tired Eye, Soothe Long-lasting, Preservision AREDS2 and Ocuvite line extensions. In August 2013, Valeant Pharmaceuticals acquired Bausch & Lomb, and Richard stayed on to lead the integration for R&D and Quality Affairs (until April 2014). He launched Ultra contact lens, Peroxiclear lens cleaning solution, upgrades to surgical equipment, new IOL inserter and accelerated development of several Rx, OTC and medical device products. From 2007-2011, Richard served as Chief Technology Officer of Johnson & Johnson Consumer and Specialty Pharma. He integrated R&D for Pfizer and J&J consumer businesses, created a streamlined new products portfolio management system, developed a new products pipeline valued at $3+B, with $1B new products flow every year. Earlier in his career, Richard held R&D roles at Pfizer, Warner Lambert, Procter & Gamble, and Schering Plough Corporation. He has published more than 30 abstracts, manuscripts and book chapters. He holds a Ph.D. in Pharmaceutical Sciences from the University of Houston, Texas and Executive Leadership Degrees from MIT, Harvard Business School, Kellogg Business School, and University of Oxford, England.

",P&G,,
,Rick DeHart ,External,,,,"Former Vice President & Chief Procurement Officer, Cisco Systems, Inc","Rick DeHart is the Managing Member and Founder of Global Strategy Partners since January 2014. He provides services in supplier management, strategic commodity management (direct and indirect), data analytics and cost reduction negotiation. Between 2011 and December 2013 DeHart was Vice President Global Sourcing and Materials at Panasonic Electric Works Corp. of America. Here, he was responsible for all strategic sourcing, supplier management and materials management functions, commodity management, NPI, purchasing and product life management. DeHart also lead multi-functional teams to implement Oracle R12, 3PL supply chain implementation and sourcing visibility. Before this he was Vice President & Chief Procurement Officer at Scientific-Atlanta / Cisco, where he pioneered the ProcureWeb application that provides web based collaboration of MRP actions with key suppliers and developed a real time Web based shortage application to ensure consistent supply with no human intervention. He procured all ASIC's, Memory, Semiconductors, FPGA's, Laser diodes, Magnetics, Hybrids and all Passive components for the Corporation. DeHart received his MBA & BS from Michigan State University.",Cisco,,
,Rick Parimi  ,External,Infosys,,N,"Former Associate Partner, CIO and Cloud Advisory Services, IBM ",,Aetna,Healthcare,
,Robert Dickie,Internal,Infosys,,Y,"Former Chief Operations and Technology Officer, Zurich Insurance, and Former COO, AIG
",,Allstate,Insurance,
,Robert Lescano,External,Infosys,,Y,"Former General Manager, Microsoft","Former General Manager at Microsoft from 2010 to 2017 * Responsible for leading sales execution for $2.9B of support services revenues globally, impacting 11,000 customers and 167 countries",Microsoft,TMT,
,Robert Meinhard,External,,,,"Former Sr. Manager Global Sales Operations Home Network, Cisco","Bob Meinhard is a Certified Business Coach and Sales Operations Consultant with Fusion Business Coaching, a role he has held since July 2012. Previously, Mr. Meinhard was Senior Manager of Global Sales Operations at the Home Networking/Consumer Products Business Unit (Linksys) of Cisco Systems from October 2004 to September 2011. He oversaw all global Sales Operations activities, including Sales Compensation Plan Development and Execution, CRM System Development (Salesforce, etc.) and Rollout, Sales Business Intelligence Systems, Cloud-based Sales Commissions Systems, Sales Reporting, Trade Management partner activities (Co-op and MDF, etc.) and consolidation and tracking of comprehensive Point-of-Sale and Channel inventory data for this $2B BU. Mr. Meinhard has driven the implementation of three full-scale ERP systems, including SAP and Oracle. Prior to that, he held increasingly responsible positions (in Sales Finance, Supply Chain Management and Purchasing) at several large and small companies including Conexant Systems, Rockwell Semiconductor, Compaq Computer, Networth, Reliance Electric and Sprint. Mr. Meinhard holds a BA in Business from Central College and an MBA from University of Dallas",Cisco,,
,"Robert R. Poggensee
",External,Infosys,,Y,"Former VP IT, Exelon","Vice President – Enterprise Wide Solutions (2013 to 2018 retired)
Responsible for the entire suite of corporate center applications and corporate large project (>$70M).
",Exelon,EPNG,
,Robert Tas,Internal,Infosys,,Y,"Expert Partner, New York, McKinsey","Leader in the Marketing & Sales Practice where he focuses on Digital Marketing
",Coca-Cola,CPG,
,Roger Roberts ,Internal,Infosys,,N,"Expert Partner, Silicon Valley, McKinsey",25 years focusing in Consumer & Packages Goods & Retail Practice ,Coca-Cola,CPG,
,Rohit Vidwans ,External,,,,"Former Vice President, Intel Corporation ","Rohit was most recently the Vice President Platform Engineering Group for Intel from 1990 to January 2016. He has broad experience in building and developing key components and SW for platforms spanning - Data Center, Mobility and IOT segments. He led engineering team to develop HW/SW and the entire solutions across Intel(R) Xeon(R), Intel(R) Atom™, Intel(R) Core™, Pentium™ and Celeron™ family of processors and client chipsets across multiple generations and multiple process technology nodes. He has a strong working knowledge and experience of key EDA vendors, their capabilities and tool knowledge, good understanding of challenges involved with migrating to newer process nodes across multiple vectors. He also has strong experience and knowledge of fabless semiconductor eco-system, IP ecosystem and Semiconductor and Platform development - 25+ years of experience leading Intel's industry leading HW & SW product development groups across the Server, PC, Tablet/Phone and chipset business with multibillion $ revenue and unit volume increase.",Intel,,
,Ron Giles,External,Infosys,,N,"Former Director Global supplier management, Cisco","Ron worked with Cisco for 5 years, serving all of that time in Supply Chain as Director of Global Supplier Management (GSM) overseeing Semiconductors and Mechanical Commodities. Ron managed a team responsible for over $3.5B in direct material spend across over 170 suppliers",Cisco,TMT,
,Safa George ,External,,,,"Former VP, Catalyst Technology for refining, chemicals and gas conversion technologies, Shell","Safa George retired from Shell after 35 accomplished years. From 2006 to 2015 Safa held the role of Vice President, Catalyst Technology for refining, chemicals and gas conversion technologies. Safa lead the introduction of robotics and parallel experimentation to revolutionize the speed to market of catalyst innovation and deployment. An industry expert in all aspects (new formulation, scale-up, economic impact/business benefits, demonstration, and commercial deployment) of catalyst technology who has lead a global R&D team in the development of market leading catalysts for upstream and downstream applications. Additionally from 2012-2015 Safa held two additional roles at Shell: he was a senior leader for Shell's largest technology center in Houston and President of Shell Global Solutions (US) Inc. He served on a senior leadership team to oversee a large capital project to renovate Shell Technology Center Houston. His responsibilities included management of Health, Safety and Environmental impact and operational performance for the site. From 1990 to 2006, Safa served as Technical Service coordinator then VP for Criterion Catalyst Company. Major responsibilities included provision of industry leading technical support to the global refining customers to maximize business benefits of the installed catalysts. From 1980 to 1990, Safa worked for Shell Canada Ltd in downstream refining and R&D where he developed sound knowledge of all refining processes. Safa has served as an adviser to private equity clients in the past and recently has worked in the Middle East looking at revamping R&D facilities there",Royal Dutch Shell (Shell),,
,Sahil Bhandari,External,Infosys,,Y,"Ex-MD, UBS","Sahil was an MD and UBS Zurich and London. He brings with him, deep understanding on the Wealth Management business at UBS",UBS,Banking,
,Salil Pitroda,External,,,,"Founder – C-SAM; 
Facebook – Corporate and Business Development team leader; 
Symphony Technology Group – Principal",, ,Banking; TMT,
,Sandhiprakash Bhide ,External,,,,"Former General Manager/Senior Director of Innovation/Pl, Intel Corporation ","Sandhiprakash Bhide, based in Oregon, is an expert on Multimodal and Adaptive or Natural Interfaces, Context-Aware or Contextual Computing, Sensors, and Internet of Things (IOT). He has 30+ years leading the strategy, development and implementation of new innovative and profitable products and businesses. From April 2014 until June 2016, he was the Director of Innovation/ Platform Architect, Internet of Things Group at Intel Corporation, where he managed 40 team members in India and the US to develop and implement key Edge Application Platform capabilities for Smart LED light systems, cloud connectivity, dynamic allocation of load, tablet control etc. Prior, he was the Senior Strategist and Technologist, Future Innovation Group at Intel Co. from 2012 to 2014, where he led the sponsored effort to complete foundational work in IOT technology/business strategy/ecosystem. During his career, he has held several other roles at Intel Co. including Mainstream Consumer PC Segment Manager, Asia Pacific/Japan Business Development Manager and Strategic Marketing Manager, Communications Product Group. Mr. Bhide obtained his Executive MBA in Strategic Management from the University of Oregon, and his MS in Computer Science, Artificial Intelligence from University of Wyoming.",Intel,,
,Sandhya Pande ,External,,,,"Former Head – Engineering Vehicle Group India, Eaton Corporation Plc","Sandhya Pande is an independent consultant based in India. Previously, she was Vice President Engineering and Product Development at Eicher Polaris (July 2014-July 2015), where she was responsible for the new vehicle development for Indian Market with potential for global export. Before that, she was Head Engineering Vehicle Group India at Eaton (Oct 2011-July 2014), a manufacturer of Transmission and Engine related products for passenger and commercial vehicles. Before that, she was Manager Vehicle Strategy and Head R&D at Hindustan Motors - Mitsubishi Division (Aug 2010-Aug 2012), Director Design Engineering and SVP Engineering Services at Applus+IDIADA (Feb 2005-July 2010), where she was in charge of the engineering project team executing the Global Automotive product development projects, and prior to that she was Engineering Group Manager at General Motors (2001-Dec 2004). She has wide exposure to international automotive business and has been a consultant to automotive companies like Ford, Toyota, Mazda, Nissan and General Motors",Eaton,,
,Sanjay Gupta,External,Infosys,,Y,"Former Chief Marketing Officer, Allstate",,Allstate,Insurance,
,Sanjay Natarajan - ,External,,,,"Former Vice President, Technology & Manufacturing Group, Intel Corporation ","Sanjay Natarajan has been working as a Research Professor at Portland State University since January 2016. He also operates his own consulting company, Natarajan Consulting. Previously, he a Vice President in Intel's Technology & Manufacturing Group, spent over 22 years in semiconductor technology development, and led the development of two technology nodes (Intel's 32nm and 14nm nodes).

",Intel,,
,Saquib Rahim,Internal,Infosys,,Y,"Former CMO & VP, Aetna Digital","Chief Medical Officer & Vice President, Clinical Strategy Aetna Digital at Aetna till June 2018",Aetna,Healthcare,
,Saravana Sivanandham,Internal,Infosys,,Y,"Senior expert, Seattle, McKinsey",Saravan is a senior expert in digital from the west coast office and largely handles our marketing in digital practice. ,American Express,Banking,
,Sid Azad,Internal,Infosys,,Y,"Partner, London, McKinsey",Sid is a WM expert for Eu,UBS,Banking,
,Simon Marcus,External,,,,"Spotify – VP of Operations; 
The Library Corporation – COO",, ,Cross-industry,
,Sri Muthu,External,Infosys,,Y,"Former head of Innovation, Wells Fargo",,Wells Fargo,Banking,
,Sriram Chandrasekaran,Internal,Infosys,,N,"Senior Expert, New Jersey, McKinsey",Sriram is an Associate Partner with the McKinsey New Jersey office with significant experience in pharma + AMS,Novartis,Healthcare,
,Stefan Burghardt,Internal,,,,"Knowledge Expert, Munich, McKinsey",Knowledge Specialist,Eaton,,
,Stephen Markman,External,Infosys,,N,"Former VP, Talent Acquisition, Wells Fargo",,Wells Fargo,Banking,
,Steve Fluhr ,External,,,,"Former Director of Contract External Manufacturing, Covidien Holding Inc","Steve Fluhr is the Vice President Operations and Compliance with Highland Pharmaceuticals. Highland Pharmaceuticals is a specialty development and manufacturing company which produces oral pharmaceutical and nutritional products in nontraditional and innovative delivery systems for use in both human and companion animal healthcare In his role, Mr. Fluhr's specialties include manufacturing, quality and operations, 3rd party management, global operations, contract development and negotiations, multi-site management. Prior to joining Highland, Mr. Fluhr worked as the Director of Global External/Contract Operations and Manufacturing with Mallinckrodt Pharmaceuticals, formerly, Covidien. In his role, Mr. Fluhr was responsible for all operations for all 3rd party manufactured finished products marketed under the Mallinckrodt Brand name, as well as all contract manufacturing performed for other parties. Established Global Operations and Emerging Market Operations",Covidien,,
,Steve Meller ,External,,,,"Managing Director of Creating Dots, LLC","Steve Meller is presently the Managing Director of Creating Dots, LLC, where he has built a portfolio of sustainability companies with a strong focus on the developing world that addresses some of the key issues facing the planet today, water pollution, air pollution, solid waste and affordable energy storage. These hand-selected portfolio companies use disruptive approaches to changing the world in which we live for the better. Each company addresses markets that are in excess of $10 billion. Previously, Steve worked for over 18 years at Procter and Gamble (NYSE: P&G) most recently as the Chief Innovation Catalyst from 2009 to October 2012. He was responsible for identifying the most important and highest growth opportunities and using state-of-the-art approaches to accelerate the innovation process. He first joined the company in 1994 and has most recently also held the titles of Head of Latin America and North America Innovation and Corporate R&D (2007-2009), Head of Open Innovation and Sustainability (2006-2009) and Head of Global Bioscience Business Development, Corporate R&D (2004-2009) after more than 10 years leading the R&D Technology organization in Health Care. Dr. Meller received his BSc, BSc Honors and PhD in Neuroscience from the University of Adelaide. He is an Advisory Board Member at StorWatts, since Jan 2013; Ecologic Brands, since Aug 2012; Baleen, since Feb 2013; and Chairman of the Advisory Board at Waste 2 Worth, since Feb 2013",P&G,,
